"","datetime","PAR","wtr","sieral"
"1",2021-10-13 00:00:00,0,18.38,"F37459D7C4C7"
"2",2021-10-13 00:05:00,0,18.38,"F37459D7C4C7"
"3",2021-10-13 00:10:00,0,18.38,"F37459D7C4C7"
"4",2021-10-13 00:15:00,0,18.38,"F37459D7C4C7"
"5",2021-10-13 00:20:00,0,18.38,"F37459D7C4C7"
"6",2021-10-13 00:25:00,0,18.38,"F37459D7C4C7"
"7",2021-10-13 00:30:00,0,18.38,"F37459D7C4C7"
"8",2021-10-13 00:35:00,0,18.38,"F37459D7C4C7"
"9",2021-10-13 00:40:00,0,18.38,"F37459D7C4C7"
"10",2021-10-13 00:45:00,0,18.38,"F37459D7C4C7"
"11",2021-10-13 00:50:00,0,18.38,"F37459D7C4C7"
"12",2021-10-13 00:55:00,0,18.38,"F37459D7C4C7"
"13",2021-10-13 01:00:00,0,18.38,"F37459D7C4C7"
"14",2021-10-13 01:05:00,0,18.38,"F37459D7C4C7"
"15",2021-10-13 01:10:00,0,18.38,"F37459D7C4C7"
"16",2021-10-13 01:15:00,0,18.38,"F37459D7C4C7"
"17",2021-10-13 01:20:00,0,18.38,"F37459D7C4C7"
"18",2021-10-13 01:25:00,0,18.38,"F37459D7C4C7"
"19",2021-10-13 01:30:00,0,18.38,"F37459D7C4C7"
"20",2021-10-13 01:35:00,0,18.38,"F37459D7C4C7"
"21",2021-10-13 01:40:00,0,18.38,"F37459D7C4C7"
"22",2021-10-13 01:45:00,0,18.38,"F37459D7C4C7"
"23",2021-10-13 01:50:00,0,18.38,"F37459D7C4C7"
"24",2021-10-13 01:55:00,0,18.38,"F37459D7C4C7"
"25",2021-10-13 02:00:00,0,18.38,"F37459D7C4C7"
"26",2021-10-13 02:05:00,0,18.38,"F37459D7C4C7"
"27",2021-10-13 02:10:00,0,18.38,"F37459D7C4C7"
"28",2021-10-13 02:15:00,0,18.38,"F37459D7C4C7"
"29",2021-10-13 02:20:00,0,18.38,"F37459D7C4C7"
"30",2021-10-13 02:25:00,0,18.38,"F37459D7C4C7"
"31",2021-10-13 02:30:00,0,18.38,"F37459D7C4C7"
"32",2021-10-13 02:35:00,0,18.38,"F37459D7C4C7"
"33",2021-10-13 02:40:00,0,18.38,"F37459D7C4C7"
"34",2021-10-13 02:45:00,0,18.38,"F37459D7C4C7"
"35",2021-10-13 02:50:00,0,18.38,"F37459D7C4C7"
"36",2021-10-13 02:55:00,0,18.38,"F37459D7C4C7"
"37",2021-10-13 03:00:00,0,18.38,"F37459D7C4C7"
"38",2021-10-13 03:05:00,0,18.38,"F37459D7C4C7"
"39",2021-10-13 03:10:00,0,18.38,"F37459D7C4C7"
"40",2021-10-13 03:15:00,0,18.38,"F37459D7C4C7"
"41",2021-10-13 03:20:00,0,18.38,"F37459D7C4C7"
"42",2021-10-13 03:25:00,0,18.38,"F37459D7C4C7"
"43",2021-10-13 03:30:00,0,18.38,"F37459D7C4C7"
"44",2021-10-13 03:35:00,0,18.38,"F37459D7C4C7"
"45",2021-10-13 03:40:00,0,18.38,"F37459D7C4C7"
"46",2021-10-13 03:45:00,0,18.38,"F37459D7C4C7"
"47",2021-10-13 03:50:00,0,18.38,"F37459D7C4C7"
"48",2021-10-13 03:55:00,0,18.38,"F37459D7C4C7"
"49",2021-10-13 04:00:00,0,18.38,"F37459D7C4C7"
"50",2021-10-13 04:05:00,0,18.38,"F37459D7C4C7"
"51",2021-10-13 04:10:00,0,18.38,"F37459D7C4C7"
"52",2021-10-13 04:15:00,0,18.38,"F37459D7C4C7"
"53",2021-10-13 04:20:00,0,18.38,"F37459D7C4C7"
"54",2021-10-13 04:25:00,0,18.38,"F37459D7C4C7"
"55",2021-10-13 04:30:00,0,18.38,"F37459D7C4C7"
"56",2021-10-13 04:35:00,0,18.38,"F37459D7C4C7"
"57",2021-10-13 04:40:00,0,18.38,"F37459D7C4C7"
"58",2021-10-13 04:45:00,0,18.38,"F37459D7C4C7"
"59",2021-10-13 04:50:00,0,18.38,"F37459D7C4C7"
"60",2021-10-13 04:55:00,0,18.38,"F37459D7C4C7"
"61",2021-10-13 05:00:00,0,18.38,"F37459D7C4C7"
