"","datetime","Hpar","Spar","wspeed","Kd","Kd2"
"1",2022-03-24 12:00:00,868.11,1948.051,0.1125,0.0409248723957622,0.0409248723957622
"2",2022-03-24 13:00:00,931.59,1829.667,0,0.0341770358649332,0.0341770358649332
"3",2022-03-24 14:00:00,902.33,1550.619,0,0.0274141356059774,0.0274141356059774
"4",2022-03-24 15:00:00,804.925,1195.467,0.225,0.0200274976014127,0.0200274976014127
"5",2022-03-24 16:00:00,615.6425,796.978,0.3375,0.0130714246571031,0.0130714246571031
"6",2022-03-24 17:00:00,382.1675,343.525,0.3375,NA,NA
"7",2022-03-24 18:00:00,155.8425,54.964,0.45,NA,NA
"8",2022-03-24 19:00:00,25.41,0,0.45,NA,NA
"9",2022-03-24 20:00:00,0.0275,0,0.225,NA,NA
"10",2022-03-24 21:00:00,0,0,0,NA,NA
"11",2022-03-24 22:00:00,0,0,0,NA,NA
"12",2022-03-24 23:00:00,0,0,0,NA,NA
"13",2022-03-25 00:00:00,0,0,0,NA,NA
"14",2022-03-25 01:00:00,0,0,0,NA,NA
"15",2022-03-25 02:00:00,0,0,0,NA,NA
"16",2022-03-25 03:00:00,0,0,0,NA,NA
"17",2022-03-25 04:00:00,0,0,0,NA,NA
"18",2022-03-25 05:00:00,0,5.285,0,Inf,NA
"19",2022-03-25 06:00:00,0,217.742,0,Inf,NA
"20",2022-03-25 07:00:00,15.9225,565.495,0,0.180757886102315,0.180757886102315
"21",2022-03-25 08:00:00,89.5675,1034.803,0,0.123897408529215,0.123897408529215
"22",2022-03-25 09:00:00,206.8,1429.064,0,0.097874573207936,0.097874573207936
"23",2022-03-25 10:00:00,406.945,1727.138,0.1125,0.0731920476522615,0.0731920476522615
"24",2022-03-25 11:00:00,664.07,1907.885,0.1125,0.0534361018758672,0.0534361018758672
"25",2022-03-25 12:00:00,1128.4075,1950.165,0.225,0.0277016019077341,0.0277016019077341
"26",2022-03-25 13:00:00,767.965,1858.206,0,0.0447403861235795,0.0447403861235795
"27",2022-03-25 14:00:00,885.005,1655.262,0,0.0317023437331324,0.0317023437331324
"28",2022-03-25 15:00:00,655.4075,1364.587,0.1125,0.0371316414249193,0.0371316414249193
"29",2022-03-25 16:00:00,483.1475,923.818,0.1125,0.0328199034171237,0.0328199034171237
"30",2022-03-25 17:00:00,365.09,377.349,0.225,0.0016722324120246,0.0016722324120246
"31",2022-03-25 18:00:00,164.67,51.793,0,NA,NA
"32",2022-03-25 19:00:00,27.115,1.057,0.225,NA,NA
"33",2022-03-25 20:00:00,0.055,0,0.3375,NA,NA
"34",2022-03-25 21:00:00,0,0,0,NA,NA
"35",2022-03-25 22:00:00,0,0,0.3375,NA,NA
"36",2022-03-25 23:00:00,0,0,0.45,NA,NA
"37",2022-03-26 00:00:00,0,0,0.45,NA,NA
"38",2022-03-26 01:00:00,0,0,0.45,NA,NA
"39",2022-03-26 02:00:00,0,0,0.45,NA,NA
"40",2022-03-26 03:00:00,0,0,0.45,NA,NA
"41",2022-03-26 04:00:00,0,0,0.45,NA,NA
"42",2022-03-26 05:00:00,0,4.228,0.3375,Inf,NA
"43",2022-03-26 06:00:00,0,59.8966666666667,0,Inf,NA
"44",2022-03-26 07:00:00,11.6875,406.945,0,0.179754842863852,0.179754842863852
"45",2022-03-26 08:00:00,71.225,828.688,0,0.124253156802761,0.124253156802761
"46",2022-03-26 09:00:00,198.7425,1278.97,0,0.0942683710635705,0.0942683710635705
"47",2022-03-26 10:00:00,331.6775,1559.075,0.225,0.0783637906019437,0.0783637906019437
"48",2022-03-26 11:00:00,551.1,1668.65066666667,0,0.0560938893111212,0.0560938893111212
"49",2022-03-26 12:00:00,638.55,1800.071,0,0.0524750079295452,0.0524750079295452
"50",2022-03-26 13:00:00,833.7175,1578.101,0,0.0323079943527576,0.0323079943527576
"51",2022-03-26 14:00:00,640.8875,1401.582,0,0.0396204021841356,0.0396204021841356
"52",2022-03-26 15:00:00,466.5925,1281.084,0,0.0511395234321029,0.0511395234321029
"53",2022-03-26 16:00:00,399.3825,875.196,0,0.0397229497202617,0.0397229497202617
"54",2022-03-26 17:00:00,242.2475,325.556,0.45,0.0149658004588097,0.0149658004588097
"55",2022-03-26 18:00:00,93.225,44.394,0.3375,NA,NA
"56",2022-03-26 19:00:00,11.88,0,0.3375,NA,NA
"57",2022-03-26 20:00:00,0,0,0.225,NA,NA
"58",2022-03-26 21:00:00,0,0,0.225,NA,NA
"59",2022-03-26 22:00:00,0,0,0.225,NA,NA
"60",2022-03-26 23:00:00,0,0,0,NA,NA
"61",2022-03-27 00:00:00,0,0,0,NA,NA
"62",2022-03-27 01:00:00,0,0,0,NA,NA
"63",2022-03-27 02:00:00,0,0,0,NA,NA
"64",2022-03-27 03:00:00,0,0,0,NA,NA
"65",2022-03-27 04:00:00,0,0,0,NA,NA
"66",2022-03-27 05:00:00,0,3.171,0,Inf,NA
"67",2022-03-27 06:00:00,0,52.85,0,Inf,NA
"68",2022-03-27 07:00:00,9.46,172.291,0.04921875,0.146942406310434,0.146942406310434
"69",2022-03-27 08:00:00,63.9925,555.982,0.365625,0.109466836994083,0.109466836994083
"70",2022-03-27 09:00:00,122.265,1163.757,0.1125,0.114086988526392,0.114086988526392
"71",2022-03-27 10:00:00,315.535,1545.334,0,0.0804418094352212,0.0804418094352212
"72",2022-03-27 11:00:00,373.78,1828.61,0.75,0.0803870382449503,0.0803870382449503
"73",2022-03-27 12:00:00,463.87,2031.554,0.6,0.0747823775119747,0.0747823775119747
"74",2022-03-27 13:00:00,352.6875,1892.03,0.15,0.0850543397465085,0.0850543397465085
"75",2022-03-27 14:00:00,402.38,1553.79,0,0.0684078719442933,0.0684078719442933
"76",2022-03-27 15:00:00,257.62,1135.218,0.15,0.0750933848602009,0.0750933848602009
"77",2022-03-27 16:00:00,261.635,787.112666666667,0,0.0557681516540011,0.0557681516540011
"78",2022-03-27 17:00:00,232.2925,336.830666666667,0,0.0188143279925826,0.0188143279925826
"79",2022-03-27 18:00:00,71.1425,34.5286666666667,0,NA,NA
"80",2022-03-27 19:00:00,10.0925,1.40933333333333,0,NA,NA
"81",2022-03-27 20:00:00,0.0275,0,0,NA,NA
"82",2022-03-27 21:00:00,0,0,0,NA,NA
"83",2022-03-27 22:00:00,0,0,0,NA,NA
"84",2022-03-27 23:00:00,0,0,0,NA,NA
"85",2022-03-28 00:00:00,0,0,0,NA,NA
"86",2022-03-28 01:00:00,0,0,0,NA,NA
"87",2022-03-28 02:00:00,0,0,0,NA,NA
"88",2022-03-28 03:00:00,0,0,0,NA,NA
"89",2022-03-28 04:00:00,0,0,0.225,NA,NA
"90",2022-03-28 05:00:00,0,2.81866666666667,0,Inf,NA
"91",2022-03-28 06:00:00,0,26.0726666666667,0,Inf,NA
"92",2022-03-28 07:00:00,6.435,114.156,0,0.145610840150088,0.145610840150088
"93",2022-03-28 08:00:00,26.2625,297.369333333333,0,0.122877612488346,0.122877612488346
"94",2022-03-28 09:00:00,87.6975,551.049333333333,0,0.0930597947658127,0.0930597947658127
"95",2022-03-28 10:00:00,168.5475,722.988,0,0.0737303805232674,0.0737303805232674
"96",2022-03-28 11:00:00,337.095,773.019333333333,0,0.0420222414845114,0.0420222414845114
"97",2022-03-28 12:00:00,317.625,851.942,0,0.0499568105192102,0.0499568105192102
"98",2022-03-28 13:00:00,507.4575,772.667,0,0.0212878583833424,0.0212878583833424
"99",2022-03-28 14:00:00,274.8625,824.46,0,0.0556181090605999,0.0556181090605999
"100",2022-03-28 15:00:00,431.31,475.65,0,0.00495469369872684,0.00495469369872684
"101",2022-03-28 16:00:00,289.0525,332.602666666667,0.15,0.0071058355367974,0.0071058355367974
"102",2022-03-28 17:00:00,201.8775,229.721333333333,0.15,0.00654207100483411,0.00654207100483411
"103",2022-03-28 18:00:00,89.6775,76.8086666666667,0,NA,NA
"104",2022-03-28 19:00:00,18.59,1.40933333333333,0,NA,NA
"105",2022-03-28 20:00:00,0.0275,0,0,NA,NA
"106",2022-03-28 21:00:00,0,0,0,NA,NA
"107",2022-03-28 22:00:00,0,0,0,NA,NA
"108",2022-03-28 23:00:00,0,0,0,NA,NA
"109",2022-03-29 00:00:00,0,0,0,NA,NA
"110",2022-03-29 01:00:00,0,0,0,NA,NA
"111",2022-03-29 02:00:00,0,0,0,NA,NA
"112",2022-03-29 03:00:00,0,0,0,NA,NA
"113",2022-03-29 04:00:00,0,0,0,NA,NA
"114",2022-03-29 05:00:00,0,9.86533333333333,0,Inf,NA
"115",2022-03-29 06:00:00,0,186.032,0,Inf,NA
"116",2022-03-29 07:00:00,12.32,650.407333333333,0,0.20082910760392,0.20082910760392
"117",2022-03-29 08:00:00,85.085,782.884666666667,0.15,0.112371373751705,0.112371373751705
"118",2022-03-29 09:00:00,193.0225,1197.581,0.675,0.0924178331896353,0.0924178331896353
"119",2022-03-29 10:00:00,450.1475,1751.449,0.3375,0.0687910591129074,0.0687910591129074
"120",2022-03-29 11:00:00,495.165,1887.802,0.225,0.0677608824286448,0.0677608824286448
"121",2022-03-29 12:00:00,741.895,1804.299,0,0.0449984661246849,0.0449984661246849
"122",2022-03-29 13:00:00,807.73,1326.535,0,0.025118871604663,0.025118871604663
"123",2022-03-29 14:00:00,748.22,992.523,0,0.0143064877832376,0.0143064877832376
"124",2022-03-29 15:00:00,617.7325,788.522,0,0.0123597362651292,0.0123597362651292
"125",2022-03-29 16:00:00,497.2825,530.614,0,0.0032848886837702,0.0032848886837702
"126",2022-03-29 17:00:00,322.52,294.903,0,NA,NA
"127",2022-03-29 18:00:00,154.5225,29.596,0,NA,NA
"128",2022-03-29 19:00:00,17.27,1.057,0,NA,NA
"129",2022-03-29 20:00:00,0.055,0,0,NA,NA
"130",2022-03-29 21:00:00,0,0,0,NA,NA
"131",2022-03-29 22:00:00,0,0,0,NA,NA
"132",2022-03-29 23:00:00,0,0,0,NA,NA
"133",2022-03-30 00:00:00,0,0,0,NA,NA
"134",2022-03-30 01:00:00,0,0,0,NA,NA
"135",2022-03-30 02:00:00,0,0,0,NA,NA
"136",2022-03-30 03:00:00,0,0,0,NA,NA
