"","datetime","PAR","wtr","sieral"
"1",NA,0,19.75,"FA10B7CAD952"
"2",2022-03-24 12:05:00,950.4,6.13,"FA10B7CAD952"
"3",2022-03-24 12:10:00,923.67,6.06,"FA10B7CAD952"
"4",2022-03-24 12:15:00,875.49,5.94,"FA10B7CAD952"
"5",2022-03-24 12:20:00,891.66,5.88,"FA10B7CAD952"
"6",2022-03-24 12:25:00,860.97,5.88,"FA10B7CAD952"
"7",2022-03-24 12:30:00,742.17,5.81,"FA10B7CAD952"
"8",2022-03-24 12:35:00,799.92,5.75,"FA10B7CAD952"
"9",2022-03-24 12:40:00,847.44,5.75,"FA10B7CAD952"
"10",2022-03-24 12:45:00,863.28,5.69,"FA10B7CAD952"
"11",2022-03-24 12:50:00,890.67,5.69,"FA10B7CAD952"
"12",2022-03-24 12:55:00,903.54,5.69,"FA10B7CAD952"
"13",2022-03-24 13:00:00,906.18,5.69,"FA10B7CAD952"
"14",2022-03-24 13:05:00,918.39,5.69,"FA10B7CAD952"
"15",2022-03-24 13:10:00,922.35,5.69,"FA10B7CAD952"
"16",2022-03-24 13:15:00,922.02,5.69,"FA10B7CAD952"
"17",2022-03-24 13:20:00,928.62,5.69,"FA10B7CAD952"
"18",2022-03-24 13:25:00,935.22,5.69,"FA10B7CAD952"
"19",2022-03-24 13:30:00,941.16,5.75,"FA10B7CAD952"
"20",2022-03-24 13:35:00,944.13,5.75,"FA10B7CAD952"
"21",2022-03-24 13:40:00,951.72,5.75,"FA10B7CAD952"
"22",2022-03-24 13:45:00,933.57,5.75,"FA10B7CAD952"
"23",2022-03-24 13:50:00,950.73,5.75,"FA10B7CAD952"
"24",2022-03-24 13:55:00,924.99,5.75,"FA10B7CAD952"
"25",2022-03-24 14:00:00,918.72,5.75,"FA10B7CAD952"
"26",2022-03-24 14:05:00,904.86,5.69,"FA10B7CAD952"
"27",2022-03-24 14:10:00,869.22,5.69,"FA10B7CAD952"
"28",2022-03-24 14:15:00,898.92,5.69,"FA10B7CAD952"
"29",2022-03-24 14:20:00,906.84,5.75,"FA10B7CAD952"
"30",2022-03-24 14:25:00,893.64,5.81,"FA10B7CAD952"
"31",2022-03-24 14:30:00,912.78,5.88,"FA10B7CAD952"
"32",2022-03-24 14:35:00,929.28,5.88,"FA10B7CAD952"
"33",2022-03-24 14:40:00,945.45,5.88,"FA10B7CAD952"
"34",2022-03-24 14:45:00,890.01,5.88,"FA10B7CAD952"
"35",2022-03-24 14:50:00,872.19,5.88,"FA10B7CAD952"
"36",2022-03-24 14:55:00,886.05,5.88,"FA10B7CAD952"
"37",2022-03-24 15:00:00,851.4,5.88,"FA10B7CAD952"
"38",2022-03-24 15:05:00,834.9,5.88,"FA10B7CAD952"
"39",2022-03-24 15:10:00,769.89,5.81,"FA10B7CAD952"
"40",2022-03-24 15:15:00,854.7,5.81,"FA10B7CAD952"
"41",2022-03-24 15:20:00,836.88,5.75,"FA10B7CAD952"
"42",2022-03-24 15:25:00,832.59,5.75,"FA10B7CAD952"
"43",2022-03-24 15:30:00,827.31,5.75,"FA10B7CAD952"
