# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://www.nicm.org).
# STATION: D9413
# STATION NAME: DW9413 Homewood
# LATITUDE: 39.09900
# LONGITUDE: -120.16800
# ELEVATION [ft]: 6391
# STATE: CA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_since_local_midnight_set_1,precip_accum_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,Millimeters,Millimeters,Celsius,Celsius,code,Pascals,Pascals,Celsius
D9413,2021-06-01T12:00:00Z,101354.56,12.22,48.0,0.0,,0.0,0.0,0.0,1.44,,,80022.51,100528.13,
D9413,2021-06-01T12:15:00Z,101388.43,12.22,50.0,0.0,,0.0,0.0,0.0,2.01,,,80049.25,100561.68,
D9413,2021-06-01T12:30:00Z,101388.43,11.67,49.0,0.0,,0.0,0.0,0.0,1.22,,,80049.25,100605.48,
D9413,2021-06-01T12:45:00Z,101388.43,11.67,50.0,0.0,,0.0,0.0,0.0,1.5,,,80049.25,100605.46,
D9413,2021-06-01T13:01:00Z,101388.43,11.67,53.0,0.0,,0.0,0.0,0.0,2.32,,,80049.25,100605.4,
D9413,2021-06-01T13:15:00Z,101422.29,11.67,54.0,0.0,,0.0,0.0,0.0,2.59,,,80075.99,100638.99,
D9413,2021-06-01T13:30:00Z,101422.29,11.67,58.0,0.0,,0.0,0.0,0.0,3.61,,,80075.99,100638.92,
D9413,2021-06-01T13:45:00Z,101422.29,11.67,58.0,0.0,,0.0,0.0,0.0,3.61,,,80075.99,100638.92,
D9413,2021-06-01T14:00:00Z,101422.29,11.67,57.0,0.0,,0.0,0.0,0.0,3.36,,,80075.99,100638.93,
D9413,2021-06-01T14:15:00Z,101388.43,12.22,59.0,0.0,,0.0,0.0,0.0,4.37,,,80049.25,100561.51,
D9413,2021-06-01T14:31:00Z,101388.43,12.22,63.0,0.0,,0.0,0.0,0.0,5.32,,,80049.25,100561.43,
D9413,2021-06-01T14:45:00Z,101388.43,12.78,62.0,0.0,,0.0,0.0,0.0,5.62,,,80049.25,100517.77,
D9413,2021-06-01T15:01:00Z,101388.43,13.33,65.0,0.0,,0.0,0.0,0.0,6.83,,,80049.25,100474.29,
D9413,2021-06-01T15:15:00Z,101354.56,13.33,64.0,0.0,,0.9,0.0,0.0,6.6,,,80022.51,100440.75,
D9413,2021-06-01T15:30:00Z,101388.43,14.44,62.0,0.45,156.0,1.79,0.0,0.0,7.19,,SSE,80049.25,100387.98,
D9413,2021-06-01T15:46:00Z,101388.43,14.44,59.0,0.45,146.0,1.34,0.0,0.0,6.46,,SE,80049.25,100388.05,
D9413,2021-06-01T16:00:00Z,101388.43,15.0,50.0,0.45,146.0,1.34,0.0,0.0,4.58,,SE,80049.25,100345.31,
D9413,2021-06-01T16:16:00Z,101354.56,15.56,49.0,0.45,145.0,1.34,0.0,0.0,4.81,,SE,80022.51,100269.06,
D9413,2021-06-01T16:30:00Z,101354.56,16.11,48.0,0.45,145.0,1.34,0.0,0.0,5.02,,SE,80022.51,100226.59,
D9413,2021-06-01T16:46:00Z,101354.56,16.67,47.0,0.45,145.0,1.34,0.0,0.0,5.23,,SE,80022.51,100184.22,
D9413,2021-06-01T17:01:00Z,101354.56,17.22,45.0,0.45,145.0,1.34,0.0,0.0,5.11,,SE,80022.51,100142.13,
D9413,2021-06-01T17:16:00Z,101320.7,17.22,51.0,0.9,142.0,1.79,0.0,0.0,6.93,,SE,79995.78,100108.52,
D9413,2021-06-01T17:31:00Z,101320.7,17.22,51.0,0.45,137.0,1.79,0.0,0.0,6.93,,SE,79995.78,100108.52,
D9413,2021-06-01T17:46:00Z,101320.7,17.22,51.0,0.45,138.0,1.34,0.0,0.0,6.93,,SE,79995.78,100108.52,
