MiniDOT Logger Concatenated Data File
Sensor:             7450-529728
Concatenation Date: 2021Oct15 19:43:38 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1623792300,           2021-06-15 21:25:00,           2021-06-15 14:25:00,      3.400000,     26.256000,          6.604000,                    81.777407,      0.996000
                1623792600,           2021-06-15 21:30:00,           2021-06-15 14:30:00,      3.400000,     26.391000,          6.882000,                    85.428234,      0.997000
                1623792900,           2021-06-15 21:35:00,           2021-06-15 14:35:00,      3.400000,     26.434000,          6.903000,                    85.755505,      0.998000
                1623793200,           2021-06-15 21:40:00,           2021-06-15 14:40:00,      3.410000,     27.655000,          6.838000,                    86.826549,      0.997000
                1623793500,           2021-06-15 21:45:00,           2021-06-15 14:45:00,      3.400000,     32.599000,          6.191000,                    85.608264,      0.996000
                1623793800,           2021-06-15 21:50:00,           2021-06-15 14:50:00,      3.400000,     34.863000,          6.019000,                    86.415100,      0.992000
                1623794100,           2021-06-15 21:55:00,           2021-06-15 14:55:00,      3.390000,     36.476000,          5.879000,                    86.654466,      0.986000
                1623794400,           2021-06-15 22:00:00,           2021-06-15 15:00:00,      3.390000,     36.476000,          5.965000,                    87.922076,      0.987000
                1623794700,           2021-06-15 22:05:00,           2021-06-15 15:05:00,      3.400000,     36.476000,          6.004000,                    88.496923,      0.990000
                1623795000,           2021-06-15 22:10:00,           2021-06-15 15:10:00,      3.400000,     36.476000,          5.956000,                    87.789419,      0.990000
                1623795300,           2021-06-15 22:15:00,           2021-06-15 15:15:00,      3.400000,     36.485000,          5.926000,                    87.359966,      0.989000
                1623795600,           2021-06-15 22:20:00,           2021-06-15 15:20:00,      3.400000,     36.476000,          5.900000,                    86.963998,      0.989000
                1623795900,           2021-06-15 22:25:00,           2021-06-15 15:25:00,      3.400000,     36.494000,          5.902000,                    87.018849,      0.989000
                1623796200,           2021-06-15 22:30:00,           2021-06-15 15:30:00,      3.410000,     36.467000,          5.903000,                    86.995531,      0.989000
                1623796500,           2021-06-15 22:35:00,           2021-06-15 15:35:00,      3.410000,     36.476000,          5.889000,                    86.801862,      0.989000
                1623796800,           2021-06-15 22:40:00,           2021-06-15 15:40:00,      3.410000,     36.467000,          5.882000,                    86.686043,      0.989000
                1623797100,           2021-06-15 22:45:00,           2021-06-15 15:45:00,      3.410000,     36.458000,          5.865000,                    86.422902,      0.989000
                1623797400,           2021-06-15 22:50:00,           2021-06-15 15:50:00,      3.410000,     36.249000,          5.883000,                    86.394834,      0.990000
                1623797700,           2021-06-15 22:55:00,           2021-06-15 15:55:00,      3.420000,     35.996000,          5.915000,                    86.508486,      0.991000
                1623798000,           2021-06-15 23:00:00,           2021-06-15 16:00:00,      3.420000,     35.716000,          5.960000,                    86.770200,      0.993000
                1623798300,           2021-06-15 23:05:00,           2021-06-15 16:05:00,      3.420000,     35.446000,          5.992000,                    86.852627,      0.994000
                1623798600,           2021-06-15 23:10:00,           2021-06-15 16:10:00,      3.420000,     35.203000,          6.017000,                    86.869162,      0.994000
                1623798900,           2021-06-15 23:15:00,           2021-06-15 16:15:00,      3.420000,     34.934000,          6.059000,                    87.090795,      0.996000
                1623799200,           2021-06-15 23:20:00,           2021-06-15 16:20:00,      3.420000,     34.684000,          6.081000,                    87.048880,      0.996000
                1623799500,           2021-06-15 23:25:00,           2021-06-15 16:25:00,      3.430000,     34.442000,          6.111000,                    87.130589,      0.997000
                1623799800,           2021-06-15 23:30:00,           2021-06-15 16:30:00,      3.420000,     34.193000,          6.143000,                    87.227833,      0.998000
                1623800100,           2021-06-15 23:35:00,           2021-06-15 16:35:00,      3.420000,     33.961000,          6.164000,                    87.190969,      0.998000
                1623800400,           2021-06-15 23:40:00,           2021-06-15 16:40:00,      3.430000,     33.713000,          6.199000,                    87.326477,      0.999000
                1623800700,           2021-06-15 23:45:00,           2021-06-15 16:45:00,      3.430000,     33.509000,          6.223000,                    87.368120,      0.999000
                1623801000,           2021-06-15 23:50:00,           2021-06-15 16:50:00,      3.430000,     33.314000,          6.241000,                    87.337036,      0.999000
                1623801300,           2021-06-15 23:55:00,           2021-06-15 16:55:00,      3.430000,     33.128000,          6.255000,                    87.262003,      0.999000
                1623801600,           2021-06-16 00:00:00,           2021-06-15 17:00:00,      3.430000,     32.943000,          6.277000,                    87.298818,      1.000000
                1623801900,           2021-06-16 00:05:00,           2021-06-15 17:05:00,      3.430000,     32.749000,          6.303000,                    87.376365,      1.000000
                1623802200,           2021-06-16 00:10:00,           2021-06-15 17:10:00,      3.430000,     32.564000,          6.316000,                    87.285483,      1.000000
                1623802500,           2021-06-16 00:15:00,           2021-06-15 17:15:00,      3.430000,     32.371000,          6.352000,                    87.498911,      1.001000
                1623802800,           2021-06-16 00:20:00,           2021-06-15 17:20:00,      3.430000,     32.213000,          6.363000,                    87.417732,      1.001000
                1623803100,           2021-06-16 00:25:00,           2021-06-15 17:25:00,      3.430000,     32.055000,          6.374000,                    87.335982,      1.001000
                1623803400,           2021-06-16 00:30:00,           2021-06-15 17:30:00,      3.430000,     31.880000,          6.393000,                    87.337890,      1.001000
                1623803700,           2021-06-16 00:35:00,           2021-06-15 17:35:00,      3.430000,     31.722000,          6.417000,                    87.431808,      1.002000
                1623804000,           2021-06-16 00:40:00,           2021-06-15 17:40:00,      3.430000,     31.565000,          6.424000,                    87.294678,      1.001000
                1623804300,           2021-06-16 00:45:00,           2021-06-15 17:45:00,      3.430000,     31.408000,          6.446000,                    87.360552,      1.002000
                1623804600,           2021-06-16 00:50:00,           2021-06-15 17:50:00,      3.430000,     31.277000,          6.455000,                    87.287943,      1.001000
                1623804900,           2021-06-16 00:55:00,           2021-06-15 17:55:00,      3.440000,     31.129000,          6.473000,                    87.311083,      1.001000
                1623805200,           2021-06-16 01:00:00,           2021-06-15 18:00:00,      3.440000,     31.008000,          6.487000,                    87.319594,      1.002000
                1623805500,           2021-06-16 01:05:00,           2021-06-15 18:05:00,      3.430000,     30.860000,          6.502000,                    87.300602,      1.002000
                1623805800,           2021-06-16 01:10:00,           2021-06-15 18:10:00,      3.430000,     30.747000,          6.515000,                    87.306278,      1.002000
                1623806100,           2021-06-16 01:15:00,           2021-06-15 18:15:00,      3.430000,     30.591000,          6.528000,                    87.247070,      1.001000
                1623806400,           2021-06-16 01:20:00,           2021-06-15 18:20:00,      3.430000,     30.478000,          6.544000,                    87.291548,      1.002000
                1623806700,           2021-06-16 01:25:00,           2021-06-15 18:25:00,      3.440000,     30.348000,          6.561000,                    87.323099,      1.002000
                1623807000,           2021-06-16 01:30:00,           2021-06-15 18:30:00,      3.440000,     30.219000,          6.582000,                    87.408404,      1.002000
                1623807300,           2021-06-16 01:35:00,           2021-06-15 18:35:00,      3.440000,     30.098000,          6.581000,                    87.213129,      1.001000
                1623807600,           2021-06-16 01:40:00,           2021-06-15 18:40:00,      3.440000,     29.985000,          6.596000,                    87.241672,      1.002000
                1623807900,           2021-06-16 01:45:00,           2021-06-15 18:45:00,      3.440000,     29.847000,          6.617000,                    87.311004,      1.002000
                1623808200,           2021-06-16 01:50:00,           2021-06-15 18:50:00,      3.430000,     29.727000,          6.617000,                    87.129893,      1.001000
                1623808500,           2021-06-16 01:55:00,           2021-06-15 18:55:00,      3.430000,     29.606000,          6.624000,                    87.039371,      1.001000
                1623808800,           2021-06-16 02:00:00,           2021-06-15 19:00:00,      3.430000,     29.511000,          6.644000,                    87.158383,      1.002000
                1623809100,           2021-06-16 02:05:00,           2021-06-15 19:05:00,      3.440000,     29.391000,          6.653000,                    87.094678,      1.001000
                1623809400,           2021-06-16 02:10:00,           2021-06-15 19:10:00,      3.440000,     29.288000,          6.663000,                    87.069426,      1.001000
                1623809700,           2021-06-16 02:15:00,           2021-06-15 19:15:00,      3.440000,     29.168000,          6.681000,                    87.122322,      1.001000
                1623810000,           2021-06-16 02:20:00,           2021-06-15 19:20:00,      3.440000,     29.039000,          6.695000,                    87.108607,      1.001000
                1623810300,           2021-06-16 02:25:00,           2021-06-15 19:25:00,      3.440000,     28.936000,          6.700000,                    87.016919,      1.001000
                1623810600,           2021-06-16 02:30:00,           2021-06-15 19:30:00,      3.440000,     28.782000,          6.723000,                    87.080632,      1.002000
                1623810900,           2021-06-16 02:35:00,           2021-06-15 19:35:00,      3.440000,     28.653000,          6.733000,                    87.013154,      1.001000
                1623811200,           2021-06-16 02:40:00,           2021-06-15 19:40:00,      3.440000,     28.499000,          6.748000,                    86.971466,      1.001000
                1623811500,           2021-06-16 02:45:00,           2021-06-15 19:45:00,      3.440000,     28.362000,          6.759000,                    86.903512,      1.001000
                1623811800,           2021-06-16 02:50:00,           2021-06-15 19:50:00,      3.440000,     28.251000,          6.772000,                    86.900512,      1.001000
                1623812100,           2021-06-16 02:55:00,           2021-06-15 19:55:00,      3.440000,     28.141000,          6.792000,                    86.988138,      1.002000
                1623812400,           2021-06-16 03:00:00,           2021-06-15 20:00:00,      3.440000,     28.004000,          6.799000,                    86.867194,      1.001000
                1623812700,           2021-06-16 03:05:00,           2021-06-15 20:05:00,      3.440000,     27.834000,          6.815000,                    86.809873,      1.000000
                1623813000,           2021-06-16 03:10:00,           2021-06-15 20:10:00,      3.440000,     27.672000,          6.838000,                    86.852779,      1.001000
