MiniDOT Logger Concatenated Data File
Sensor:             7450-265933
Concatenation Date: 2022Mar24 13:07:07 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1634256960,           2021-10-15 00:16:00,           2021-10-14 17:16:00,      3.470000,     21.649000,          7.668000,                    87.109600,      0.952000
                1634257260,           2021-10-15 00:21:00,           2021-10-14 17:21:00,      3.470000,     21.548000,          7.701000,                    87.313435,      0.952000
                1634257560,           2021-10-15 00:26:00,           2021-10-14 17:26:00,      3.470000,     21.448000,          7.670000,                    86.793350,      0.952000
                1634257860,           2021-10-15 00:31:00,           2021-10-14 17:31:00,      3.480000,     21.456000,          7.661000,                    86.704977,      0.952000
                1634258160,           2021-10-15 00:36:00,           2021-10-14 17:36:00,      3.480000,     21.523000,          7.660000,                    86.806476,      0.951000
                1634258460,           2021-10-15 00:41:00,           2021-10-14 17:41:00,      3.480000,     21.623000,          7.659000,                    86.963560,      0.953000
                1634258760,           2021-10-15 00:46:00,           2021-10-14 17:46:00,      3.480000,     21.682000,          7.655000,                    87.017487,      0.952000
                1634259060,           2021-10-15 00:51:00,           2021-10-14 17:51:00,      3.480000,     21.757000,          7.645000,                    87.029967,      0.952000
                1634259360,           2021-10-15 00:56:00,           2021-10-14 17:56:00,      3.480000,     21.799000,          7.629000,                    86.918339,      0.952000
                1634259660,           2021-10-15 01:01:00,           2021-10-14 18:01:00,      3.480000,     21.849000,          7.627000,                    86.979492,      0.952000
                1634259960,           2021-10-15 01:06:00,           2021-10-14 18:06:00,      3.480000,     21.874000,          7.653000,                    87.318120,      0.952000
                1634260260,           2021-10-15 01:11:00,           2021-10-14 18:11:00,      3.480000,     21.891000,          7.665000,                    87.483724,      0.952000
                1634260560,           2021-10-15 01:16:00,           2021-10-14 18:16:00,      3.480000,     21.908000,          7.656000,                    87.409659,      0.951000
                1634260860,           2021-10-15 01:21:00,           2021-10-14 18:21:00,      3.490000,     21.891000,          7.675000,                    87.597858,      0.952000
                1634261160,           2021-10-15 01:26:00,           2021-10-14 18:26:00,      3.490000,     21.883000,          7.679000,                    87.629986,      0.952000
                1634261460,           2021-10-15 01:31:00,           2021-10-14 18:31:00,      3.490000,     21.866000,          7.685000,                    87.669694,      0.952000
                1634261760,           2021-10-15 01:36:00,           2021-10-14 18:36:00,      3.490000,     21.799000,          7.689000,                    87.601928,      0.951000
                1634262060,           2021-10-15 01:41:00,           2021-10-14 18:41:00,      3.490000,     21.741000,          7.699000,                    87.617592,      0.951000
